setting_id,category,description_ko,value,unit,status,editable,notes
GRID_VOLTAGE_KV,A_RATING,외부계통 기준전압,154,kV,PROVISIONAL,true,실제 승인 SLD 확인 후 변경
GT_TERMINAL_VOLTAGE_KV,A_RATING,GT 발전기 및 GT 변압기 저압측 기준전압,13.8,kV,PROVISIONAL,true,가상설비 기준값
ST_TERMINAL_VOLTAGE_KV,A_RATING,ST 발전기 및 ST 변압기 저압측 기준전압,13.8,kV,PROVISIONAL,true,가상설비 기준값
AUX_BUS_VOLTAGE_KV,A_RATING,소내 6.9 kV 모선 기준전압,6.9,kV,CONFIRMED_VPP,true,사용자 요청 반영
POWER_FACTOR,A_CALC,전류 환산용 기본 역률,0.95,-,PROVISIONAL,true,실제 계측값이 있으면 대체
GTG_PRETRIP_POWER_MW,A_SCENARIO,ThermoSysPro에 없는 GTG 사고 전 출력,160,MW,PROVISIONAL,true,GTG는 ThermoSysPro 직접 전기모델이 아님
TRIP_RECEIVE_DELAY_MS,A_PROTECTION,GT Trip 신호 수신 지연,20,ms,PROVISIONAL,true,C&E 또는 SOE 검증 전 값
LOCKOUT_OPERATE_DELAY_MS,A_PROTECTION,86GT 동작 지연,35,ms,PROVISIONAL,true,보호계전 정정자료 확인 후 변경
GT_BREAKER_OPEN_DELAY_MS,A_PROTECTION,52GT 개방 지연,80,ms,PROVISIONAL,true,차단기 시험자료 확인 후 변경
GT_POWER_DECAY_MS,A_CALC,GTG 파생 출력 감소시간,350,ms,PROVISIONAL,true,표시용 파생식
ST_TRIP_POWER_PU,A_CONTROL,STG 저출력 상태 판정 기준,0.20,pu,PROVISIONAL,true,자동 Trip 기준이 아니라 VPP 상태전환 기준
ST_BREAKER_OPEN_DELAY_MS,A_PROTECTION,ST 저출력 판정 후 52ST 개방 지연,100,ms,PROVISIONAL,true,C&E 확인 후 변경
UNDERVOLTAGE_PICKUP_PU,A_PROTECTION,6.9 kV 모선 저전압 Pickup,0.80,pu,PROVISIONAL,true,계전기 정정자료 확인 후 변경
UNDERVOLTAGE_DELAY_MS,A_PROTECTION,저전압 동작 지연,300,ms,PROVISIONAL,true,계전기 정정자료 확인 후 변경
TREND_PERIOD_MS,A_SYSTEM,ECMS 추세 출력 주기,20,ms,PROVISIONAL,true,실제 ECMS 주기 확인 후 변경
CLOCK_OFFSET_MS,A_SYSTEM,ECMS 시계 오프셋,0,ms,PROVISIONAL,true,시간정렬 시험용
AUTO_BUS_TIE_TRANSFER,A_CONTROL,BUS TIE 자동절체 사용 여부,0,BOOL,PROVISIONAL,true,현재는 로직 미확정으로 비활성
ALLOW_SOURCE_PARALLEL,A_CONTROL,GT/ST 역수전원 병렬 허용 여부,0,BOOL,PROVISIONAL,true,승인된 동기검정·병렬조건 전에는 0 유지
